 37.2100 C 	 2117225597451833 ns 
 38.1581 C 	 2117235318864628 ns 
 39.1218 C 	 2117235333617880 ns 
 37.9405 C 	 2117235348110673 ns 
 38.6089 C 	 2117235361821515 ns 
 39.1218 C 	 2117235376202347 ns 
 38.1271 C 	 2117235390361089 ns 
 38.1426 C 	 2117235404979972 ns 
 39.7280 C 	 2117235418806074 ns 
 37.5209 C 	 2117235435695807 ns 
 37.8784 C 	 2117235449550109 ns 
 38.2359 C 	 2117235463818711 ns 
 37.6141 C 	 2117235477968724 ns 
 39.0285 C 	 2117235492172166 ns 
 38.4845 C 	 2117235506647198 ns 
 37.8628 C 	 2117235521242411 ns 
 37.5364 C 	 2117235534518643 ns 
 37.5830 C 	 2117235549226055 ns 
 38.1737 C 	 2117235562936717 ns 
 38.2048 C 	 2117235577241800 ns 
 37.9094 C 	 2117235590773242 ns 
 39.3083 C 	 2117235605545724 ns 
 38.0649 C 	 2117235620193586 ns 
 38.4224 C 	 2117235634569739 ns 
 39.9456 C 	 2117235651563512 ns 
 37.2100 C 	 2117235669099414 ns 
 38.7177 C 	 2117235685235457 ns 
 39.2928 C 	 2117235699453719 ns 
 38.6089 C 	 2117235712982221 ns 
 37.6452 C 	 2117235727706644 ns 
 36.8059 C 	 2117235741389046 ns 
 39.6969 C 	 2117235756299348 ns 
 38.5156 C 	 2117235769850951 ns 
 37.4898 C 	 2117235783866203 ns 
 39.2617 C 	 2117235798354255 ns 
 38.9197 C 	 2117235812048447 ns 
 39.0596 C 	 2117235826453640 ns 
 39.3860 C 	 2117235840940012 ns 
 38.9508 C 	 2117235854656554 ns 
 39.1373 C 	 2117235868584626 ns 
 38.9975 C 	 2117235881897519 ns 
 38.3602 C 	 2117235896416861 ns 
 37.7229 C 	 2117235910206453 ns 
 37.6452 C 	 2117235924322895 ns 
 39.1529 C 	 2117235938785598 ns 
 39.1995 C 	 2117235953479090 ns 
 38.4224 C 	 2117235967260822 ns 
 39.0441 C 	 2117235983578845 ns 
 37.9405 C 	 2117235997791227 ns 
 39.9300 C 	 2117236011667489 ns 
 39.5726 C 	 2117236026020152 ns 
 38.9664 C 	 2117236041133164 ns 
 38.1271 C 	 2117236055193356 ns 
 38.7643 C 	 2117236069391219 ns 
 37.7540 C 	 2117236084382581 ns 
 38.5933 C 	 2117236099125664 ns 
 38.7954 C 	 2117236113167826 ns 
 38.5623 C 	 2117236127078678 ns 
 38.9042 C 	 2117236141167880 ns 
 38.9353 C 	 2117236156224583 ns 
 37.8317 C 	 2117236169999475 ns 
 39.5104 C 	 2117236184430197 ns 
 37.4276 C 	 2117236198532240 ns 
 39.3239 C 	 2117236212681952 ns 
 39.5726 C 	 2117236226165154 ns 
 39.1218 C 	 2117236240140716 ns 
 37.5675 C 	 2117236255140539 ns 
 38.9353 C 	 2117236268885011 ns 
 39.5881 C 	 2117236282949253 ns 
 38.8576 C 	 2117236296881405 ns 
 37.8473 C 	 2117236311189518 ns 
 38.8576 C 	 2117236325204080 ns 
 38.3913 C 	 2117236338612552 ns 
 38.3602 C 	 2117236352988194 ns 
 37.8628 C 	 2117236367165747 ns 
 37.9094 C 	 2117236382109169 ns 
 39.2462 C 	 2117236396415181 ns 
 39.4327 C 	 2117236412689944 ns 
 37.8317 C 	 2117236428028496 ns 
 38.4535 C 	 2117236442497199 ns 
 37.7229 C 	 2117236456877551 ns 
 37.7229 C 	 2117236470360093 ns 
 38.8109 C 	 2117236484481726 ns 
 38.2669 C 	 2117236498390088 ns 
 37.2100 C 	 2117236512701260 ns 
 38.1892 C 	 2117236527183312 ns 
 40.3186 C 	 2117236541216265 ns 
 39.1995 C 	 2117236554907457 ns 
 38.2359 C 	 2117236569283579 ns 
 38.5933 C 	 2117236584130612 ns 
 38.1115 C 	 2117236598562264 ns 
 38.2048 C 	 2117236613443196 ns 
 37.9405 C 	 2117236626918538 ns 
 37.6297 C 	 2117236641467311 ns 
 37.8628 C 	 2117236655302353 ns 
 37.9561 C 	 2117236669368215 ns 
 38.9508 C 	 2117236683383918 ns 
 37.5053 C 	 2117236697242180 ns 
 39.1063 C 	 2117236712364162 ns 
 37.6918 C 	 2117236726546785 ns 
 38.4379 C 	 2117236741068737 ns 
 39.5104 C 	 2117236754444179 ns 
 38.0338 C 	 2117236768495791 ns 
 38.5001 C 	 2117236783179924 ns 
 38.6866 C 	 2117236796992106 ns 
 38.5933 C 	 2117236811557708 ns 
 38.9664 C 	 2117236826244721 ns 
 39.2928 C 	 2117236841042283 ns 
 39.2462 C 	 2117236856086505 ns 
 39.5415 C 	 2117236870710578 ns 
 38.7488 C 	 2117236885612420 ns 
 38.1115 C 	 2117236900327032 ns 
 39.3083 C 	 2117236914360165 ns 
 39.1684 C 	 2117236928807387 ns 
 38.5933 C 	 2117236943250979 ns 
 39.1995 C 	 2117236957493842 ns 
 38.2825 C 	 2117236972676814 ns 
 37.8784 C 	 2117236987153016 ns 
 38.4690 C 	 2117237000754719 ns 
 39.6347 C 	 2117237014790881 ns 
 38.9042 C 	 2117237029105383 ns 
 39.4171 C 	 2117237042680205 ns 
 38.3291 C 	 2117237056995878 ns 
 38.7332 C 	 2117237071239850 ns 
 37.9250 C 	 2117237087520643 ns 
 38.0027 C 	 2117237104823805 ns 
 38.1271 C 	 2117237121819138 ns 
 38.3602 C 	 2117237137931421 ns 
 37.5830 C 	 2117237154822023 ns 
 37.8939 C 	 2117237172128486 ns 
 38.8420 C 	 2117237189734139 ns 
 38.8420 C 	 2117237204796001 ns 
 38.6244 C 	 2117237219486584 ns 
 38.7177 C 	 2117237237216977 ns 
 38.7643 C 	 2117237252018229 ns 
 38.4068 C 	 2117237266823231 ns 
 38.6089 C 	 2117237281027094 ns 
 38.1271 C 	 2117237295757516 ns 
 38.6089 C 	 2117237309086338 ns 
 38.5001 C 	 2117237323073361 ns 
 38.0183 C 	 2117237336743343 ns 
 39.2928 C 	 2117237351563975 ns 
 37.9250 C 	 2117237365393947 ns 
 39.2462 C 	 2117237379371730 ns 
 37.9094 C 	 2117237393421662 ns 
 40.2720 C 	 2117237407351474 ns 
 38.1737 C 	 2117237421369246 ns 
 37.7074 C 	 2117237436557949 ns 
 38.1271 C 	 2117237450088281 ns 
 39.5570 C 	 2117237464602193 ns 
 39.4016 C 	 2117237478984706 ns 
 39.1218 C 	 2117237492926488 ns 
 40.3342 C 	 2117237507271530 ns 
 38.2825 C 	 2117237521075852 ns 
 38.1115 C 	 2117237535074605 ns 
 38.6244 C 	 2117237549387367 ns 
 39.3239 C 	 2117237563956269 ns 
 39.7746 C 	 2117237578889702 ns 
 37.7696 C 	 2117237597082455 ns 
 39.0285 C 	 2117237613428467 ns 
 39.1995 C 	 2117237629971580 ns 
 38.4068 C 	 2117237642306412 ns 
 38.2825 C 	 2117237661208215 ns 
 38.4379 C 	 2117237679103308 ns 
 39.7902 C 	 2117237695075670 ns 
 38.1115 C 	 2117237711206253 ns 
 39.2462 C 	 2117237731122416 ns 
 38.6400 C 	 2117237749353389 ns 
 39.2462 C 	 2117237765480192 ns 
 40.1787 C 	 2117237784092195 ns 
 39.1684 C 	 2117237803420568 ns 
 39.0130 C 	 2117237817953740 ns 
 38.5001 C 	 2117237837003323 ns 
 37.3965 C 	 2117237857729097 ns 
 37.3654 C 	 2117237874007399 ns 
 39.2617 C 	 2117237893978702 ns 
 38.7488 C 	 2117237909187655 ns 
 39.3860 C 	 2117237923953117 ns 
 38.2980 C 	 2117237938136190 ns 
 37.7074 C 	 2117237953055342 ns 
 38.9975 C 	 2117237967216814 ns 
 38.3447 C 	 2117237981157156 ns 
 37.3810 C 	 2117237994830889 ns 
 37.8628 C 	 2117238009903761 ns 
 38.9353 C 	 2117238024051283 ns 
 38.4690 C 	 2117238038421136 ns 
 39.6347 C 	 2117238053224068 ns 
 38.2825 C 	 2117238067573640 ns 
 38.8576 C 	 2117238081955313 ns 
 38.7488 C 	 2117238096350485 ns 
 38.2825 C 	 2117238110434077 ns 
 39.1063 C 	 2117238124347929 ns 
 38.4068 C 	 2117238138801152 ns 
 38.6555 C 	 2117238152632984 ns 
 38.9353 C 	 2117238167596446 ns 
 38.2514 C 	 2117238181835949 ns 
 38.5467 C 	 2117238197116931 ns 
 39.2306 C 	 2117238210728263 ns 
 40.2875 C 	 2117238225286126 ns 
 39.0752 C 	 2117238239819388 ns 
 39.1995 C 	 2117238254028650 ns 
 38.0804 C 	 2117238268337333 ns 
 39.3860 C 	 2117238283440055 ns 
 39.0130 C 	 2117238297897267 ns 
 37.4121 C 	 2117238311861190 ns 
 38.4068 C 	 2117238325940762 ns 
 39.2928 C 	 2117238340069324 ns 
 39.2772 C 	 2117238354048876 ns 
 37.3654 C 	 2117238369197499 ns 
 38.0493 C 	 2117238385126931 ns 
 39.1684 C 	 2117238403980974 ns 
 39.4327 C 	 2117238422668607 ns 
 37.5520 C 	 2117238444793461 ns 
 38.9508 C 	 2117238463985094 ns 
 37.6297 C 	 2117238484755087 ns 
 39.5726 C 	 2117238503090970 ns 
 38.9975 C 	 2117238521550393 ns 
 38.8731 C 	 2117238541266067 ns 
 39.5415 C 	 2117238556303749 ns 
 39.1840 C 	 2117238572759772 ns 
 40.4430 C 	 2117238588612044 ns 
 38.8109 C 	 2117238604428017 ns 
 38.3447 C 	 2117238627699050 ns 
 37.1012 C 	 2117238647557194 ns 
 40.2564 C 	 2117238663925106 ns 
 39.1218 C 	 2117238681075329 ns 
 38.4068 C 	 2117238697106732 ns 
 37.5675 C 	 2117238710068744 ns 
 39.5415 C 	 2117238721883196 ns 
 38.5933 C 	 2117238737524058 ns 
 37.9872 C 	 2117238749476060 ns 
 37.7229 C 	 2117238761188062 ns 
 38.8109 C 	 2117238777237675 ns 
 37.4587 C 	 2117238789014776 ns 
 38.7177 C 	 2117238804749629 ns 
 38.8420 C 	 2117238816861951 ns 
 39.4638 C 	 2117238828777953 ns 
 38.7332 C 	 2117238844678135 ns 
 38.8887 C 	 2117238858530668 ns 
 39.7124 C 	 2117238873522210 ns 
 38.7488 C 	 2117238887470802 ns 
 39.0441 C 	 2117238903407915 ns 
 37.9872 C 	 2117238916170367 ns 
 39.9922 C 	 2117238927954099 ns 
 39.1373 C 	 2117238944135471 ns 
 38.4379 C 	 2117238956002333 ns 
 38.0804 C 	 2117238967834575 ns 
 39.6814 C 	 2117238983900388 ns 
 38.7799 C 	 2117238995838500 ns 
 39.0130 C 	 2117239007667412 ns 
 39.4327 C 	 2117239023945264 ns 
 38.1271 C 	 2117239035901436 ns 
 39.2617 C 	 2117239047731398 ns 
 38.1892 C 	 2117239063680661 ns 
 37.8939 C 	 2117239075535193 ns 
 38.3913 C 	 2117239087700135 ns 
 38.7332 C 	 2117239103910397 ns 
 38.8420 C 	 2117239115867319 ns 
 38.7488 C 	 2117239127490521 ns 
 38.0338 C 	 2117239141283803 ns 
 39.6969 C 	 2117239156219666 ns 
 38.8576 C 	 2117239171955538 ns 
 38.5001 C 	 2117239183798580 ns 
 38.3913 C 	 2117239200347453 ns 
 38.4224 C 	 2117239213087015 ns 
 39.0752 C 	 2117239225034307 ns 
 38.2203 C 	 2117239238310119 ns 
 39.2151 C 	 2117239256683442 ns 
 38.9197 C 	 2117239268555764 ns 
 36.6194 C 	 2117239284212196 ns 
 39.4793 C 	 2117239299799929 ns 
 38.5001 C 	 2117239313455721 ns 
 38.9042 C 	 2117239329228373 ns 
 39.4638 C 	 2117239341046245 ns 
 38.3291 C 	 2117239353002687 ns 
 37.4587 C 	 2117239369574060 ns 
 40.0544 C 	 2117239381356172 ns 
 38.7954 C 	 2117239394780454 ns 
 38.7799 C 	 2117239410711446 ns 
 38.1737 C 	 2117239422776068 ns 
 38.7021 C 	 2117239435580880 ns 
 39.1529 C 	 2117239450535703 ns 
 38.4068 C 	 2117239462265345 ns 
 39.8990 C 	 2117239479078247 ns 
 39.5415 C 	 2117239494270310 ns 
 38.4845 C 	 2117239509994872 ns 
 38.7799 C 	 2117239525586385 ns 
 37.6763 C 	 2117239541200187 ns 
 39.1529 C 	 2117239557224870 ns 
 38.5778 C 	 2117239572059272 ns 
 39.0441 C 	 2117239588438855 ns 
 38.9819 C 	 2117239602154977 ns 
 39.6814 C 	 2117239614160979 ns 
 38.2203 C 	 2117239630039952 ns 
 38.6089 C 	 2117239647512405 ns 
 37.8473 C 	 2117239659418267 ns 
 37.3810 C 	 2117239675309989 ns 
 37.7540 C 	 2117239691668092 ns 
 38.7021 C 	 2117239703327684 ns 
 39.3550 C 	 2117239719608566 ns 
 39.1995 C 	 2117239735292809 ns 
 38.1426 C 	 2117239747199901 ns 
 37.1012 C 	 2117239762770113 ns 
 37.6608 C 	 2117239775218315 ns 
 38.1115 C 	 2117239791527338 ns 
 37.7385 C 	 2117239805419200 ns 
 40.1943 C 	 2117239820642042 ns 
 39.3705 C 	 2117239836395675 ns 
 38.8887 C 	 2117239852299848 ns 
 37.8006 C 	 2117239864177209 ns 
 38.1737 C 	 2117239881133902 ns 
 38.9664 C 	 2117239893018434 ns 
 37.9250 C 	 2117239905534586 ns 
 39.0285 C 	 2117239921501789 ns 
 38.9819 C 	 2117239935026721 ns 
 37.7540 C 	 2117239947945773 ns 
 38.2203 C 	 2117239961695645 ns 
 37.6763 C 	 2117239977358708 ns 
 39.1063 C 	 2117239989238800 ns 
 39.2462 C 	 2117240003285972 ns 
 39.2462 C 	 2117240018305954 ns 
 38.0027 C 	 2117240034048007 ns 
 37.9716 C 	 2117240051340880 ns 
 39.5881 C 	 2117240063202792 ns 
 38.8576 C 	 2117240078087354 ns 
 38.9664 C 	 2117240092485796 ns 
 38.1115 C 	 2117240108189869 ns 
 38.3757 C 	 2117240124895221 ns 
 38.7799 C 	 2117240136565553 ns 
 38.8576 C 	 2117240152521206 ns 
 37.8317 C 	 2117240167709878 ns 
 37.8162 C 	 2117240179657950 ns 
 38.2825 C 	 2117240199303513 ns 
 39.1995 C 	 2117240213340846 ns 
 39.7280 C 	 2117240228775998 ns 
 38.9042 C 	 2117240240689150 ns 
 38.8109 C 	 2117240257068553 ns 
 38.8109 C 	 2117240269262355 ns 
 39.1840 C 	 2117240284868267 ns 
 38.3602 C 	 2117240296843429 ns 
 38.4068 C 	 2117240312464282 ns 
 38.9197 C 	 2117240327882634 ns 
 38.2359 C 	 2117240343562947 ns 
 40.2254 C 	 2117240355372479 ns 
 38.7488 C 	 2117240371107841 ns 
 37.2877 C 	 2117240382827223 ns 
 39.6503 C 	 2117240396877575 ns 
 39.6658 C 	 2117240413032008 ns 
 38.8731 C 	 2117240424790330 ns 
 38.2048 C 	 2117240440413462 ns 
 37.7074 C 	 2117240452366874 ns 
 40.1476 C 	 2117240464330216 ns 
 39.2617 C 	 2117240478622908 ns 
 39.3239 C 	 2117240494557711 ns 
 38.6089 C 	 2117240506386083 ns 
 37.9716 C 	 2117240518275925 ns 
 39.4171 C 	 2117240534650857 ns 
 37.6763 C 	 2117240546550449 ns 
 38.0960 C 	 2117240563548992 ns 
 40.1632 C 	 2117240575722214 ns 
 37.9250 C 	 2117240587359846 ns 
 39.1995 C 	 2117240601292778 ns 
 37.8473 C 	 2117240617621361 ns 
 38.4224 C 	 2117240629351183 ns 
 37.8784 C 	 2117240644974675 ns 
 37.9561 C 	 2117240659070387 ns 
 39.1840 C 	 2117240675134760 ns 
 38.3602 C 	 2117240687304262 ns 
 38.5933 C 	 2117240703266965 ns 
 39.0441 C 	 2117240719235307 ns 
 38.8576 C 	 2117240733633539 ns 
 37.9561 C 	 2117240747538902 ns 
 38.3447 C 	 2117240763310684 ns 
 38.3757 C 	 2117240775307836 ns 
 39.9145 C 	 2117240789420648 ns 
 38.8109 C 	 2117240805435581 ns 
 38.8420 C 	 2117240820983443 ns 
 38.3913 C 	 2117240839372096 ns 
 38.8109 C 	 2117240850994308 ns 
 39.8990 C 	 2117240868288261 ns 
 37.7851 C 	 2117240880152843 ns 
 38.3291 C 	 2117240893970905 ns 
 39.1529 C 	 2117240909647798 ns 
 38.8887 C 	 2117240921343840 ns 
 38.2825 C 	 2117240937427862 ns 
 38.9975 C 	 2117240952656435 ns 
 37.0235 C 	 2117240968433737 ns 
 38.0960 C 	 2117240983470010 ns 
 39.2462 C 	 2117240999548302 ns 
 38.8887 C 	 2117241011388104 ns 
 38.4379 C 	 2117241027316667 ns 
 39.6347 C 	 2117241042306139 ns 
 39.1529 C 	 2117241058408912 ns 
 39.9922 C 	 2117241070331544 ns 
 39.6347 C 	 2117241086657876 ns 
 38.6711 C 	 2117241099334288 ns 
 39.0441 C 	 2117241117204361 ns 
 40.9559 C 	 2117241133850194 ns 
 39.2462 C 	 2117241148680546 ns 
 38.5778 C 	 2117241164907219 ns 
 38.4224 C 	 2117241180695561 ns 
 38.9664 C 	 2117241196549484 ns 
 38.9975 C 	 2117241212727046 ns 
 39.1529 C 	 2117241227312689 ns 
 38.9197 C 	 2117241239189361 ns 
 38.5156 C 	 2117241254801843 ns 
 38.7643 C 	 2117241270756146 ns 
 38.7799 C 	 2117241282937258 ns 
 38.9042 C 	 2117241296999970 ns 
 39.6658 C 	 2117241312716403 ns 
 37.9561 C 	 2117241326599325 ns 
 39.1529 C 	 2117241342560737 ns 
 38.6555 C 	 2117241357076270 ns 
 38.2669 C 	 2117241373045872 ns 
 38.3291 C 	 2117241389034165 ns 
 39.2772 C 	 2117241403232627 ns 
 39.0130 C 	 2117241419311310 ns 
 38.8576 C 	 2117241432167062 ns 
 38.8265 C 	 2117241446683854 ns 
 37.0390 C 	 2117241458499386 ns 
 38.0027 C 	 2117241471339208 ns 
 38.5467 C 	 2117241486060420 ns 
 37.0857 C 	 2117241502242333 ns 
 39.7591 C 	 2117241515460935 ns 
 39.0441 C 	 2117241531123218 ns 
 38.6400 C 	 2117241545288290 ns 
 38.9508 C 	 2117241561316573 ns 
 38.7177 C 	 2117241578205045 ns 
 37.6452 C 	 2117241592803378 ns 
 37.3499 C 	 2117241608692910 ns 
 38.4845 C 	 2117241622752862 ns 
 38.9042 C 	 2117241638449765 ns 
 39.1840 C 	 2117241655530418 ns 
 39.0596 C 	 2117241667530960 ns 
 40.1632 C 	 2117241683239742 ns 
 38.2203 C 	 2117241695247244 ns 
 38.9042 C 	 2117241710955097 ns 
 39.3550 C 	 2117241725302389 ns 
 38.0338 C 	 2117241741440742 ns 
 38.9819 C 	 2117241755337584 ns 
 38.5001 C 	 2117241771489316 ns 
 39.0285 C 	 2117241783212748 ns 
 39.4482 C 	 2117241796842651 ns 
 37.9716 C 	 2117241812425253 ns 
 37.9561 C 	 2117241824644105 ns 
 39.2928 C 	 2117241838509117 ns 
 38.4535 C 	 2117241853479600 ns 
 38.8576 C 	 2117241868817672 ns 
 39.5104 C 	 2117241884535635 ns 
 38.3602 C 	 2117241896263297 ns 
 37.7851 C 	 2117241913604139 ns 
 40.0699 C 	 2117241926252201 ns 
 38.6866 C 	 2117241938006263 ns 
 38.8576 C 	 2117241951616785 ns 
 38.2048 C 	 2117241967260078 ns 
 40.0233 C 	 2117241979100510 ns 
 39.4482 C 	 2117241997269683 ns 
 38.3757 C 	 2117242015329746 ns 
 38.5156 C 	 2117242028927698 ns 
 38.6711 C 	 2117242041656430 ns 
 37.7074 C 	 2117242056191432 ns 
 38.0027 C 	 2117242072295345 ns 
 38.7332 C 	 2117242084147357 ns 
 39.0752 C 	 2117242100389749 ns 
 38.8420 C 	 2117242115304492 ns 
 38.1892 C 	 2117242129498004 ns 
 37.9561 C 	 2117242145396537 ns 
 38.7954 C 	 2117242161309919 ns 
 38.5623 C 	 2117242175319921 ns 
 37.9250 C 	 2117242191321564 ns 
 38.1426 C 	 2117242203488576 ns 
 37.8317 C 	 2117242219141918 ns 
 38.2514 C 	 2117242234353031 ns 
 38.4379 C 	 2117242249996653 ns 
 38.2359 C 	 2117242262218685 ns 
 38.8265 C 	 2117242277923088 ns 
 39.4482 C 	 2117242289948320 ns 
 38.3136 C 	 2117242307309383 ns 
 39.5726 C 	 2117242319438505 ns 
 38.3447 C 	 2117242333156577 ns 
 38.7021 C 	 2117242348621579 ns 
 40.1787 C 	 2117242364443282 ns 
 38.9042 C 	 2117242381904725 ns 
 38.6089 C 	 2117242394976237 ns 
 38.6400 C 	 2117242410592079 ns 
 39.8212 C 	 2117242427813102 ns 
 38.5467 C 	 2117242439449834 ns 
 37.5520 C 	 2117242455342936 ns 
 38.2980 C 	 2117242467574268 ns 
 37.3810 C 	 2117242483202831 ns 
 37.9405 C 	 2117242495488733 ns 
 39.7591 C 	 2117242509517065 ns 
 38.7488 C 	 2117242521295367 ns 
 37.5053 C 	 2117242537811540 ns 
 39.0752 C 	 2117242551728752 ns 
 38.0804 C 	 2117242567590955 ns 
 38.2359 C 	 2117242579432166 ns 
 39.2772 C 	 2117242593457979 ns 
 38.5467 C 	 2117242608766261 ns 
 38.7954 C 	 2117242620740373 ns 
 36.8525 C 	 2117242636888386 ns 
 38.4068 C 	 2117242649502098 ns 
 38.5623 C 	 2117242664752480 ns 
 39.4638 C 	 2117242681026313 ns 
 39.6036 C 	 2117242696924905 ns 
 38.4224 C 	 2117242712757768 ns 
 37.8628 C 	 2117242728674150 ns 
 40.4896 C 	 2117242745594273 ns 
 38.7332 C 	 2117242757659795 ns 
 37.5209 C 	 2117242771731327 ns 
 38.0493 C 	 2117242787459280 ns 
 39.5415 C 	 2117242803531633 ns 
 38.1271 C 	 2117242818261965 ns 
 38.1426 C 	 2117242833396337 ns 
 40.2564 C 	 2117242847324920 ns 
 38.0960 C 	 2117242860104982 ns 
 37.9716 C 	 2117242875745334 ns 
 40.3808 C 	 2117242887541756 ns 
 39.4482 C 	 2117242903324729 ns 
 38.1892 C 	 2117242917279651 ns 
 39.7902 C 	 2117242929194963 ns 
 37.8473 C 	 2117242945516915 ns 
 38.5623 C 	 2117242957531617 ns 
 39.7124 C 	 2117242969340459 ns 
 38.9664 C 	 2117242984896092 ns 
 39.1684 C 	 2117242997542504 ns 
 38.8420 C 	 2117243012399496 ns 
 39.3239 C 	 2117243028137229 ns 
 39.1684 C 	 2117243040409391 ns 
 38.6089 C 	 2117243056133323 ns 
 39.8212 C 	 2117243068509465 ns 
 40.2254 C 	 2117243083664988 ns 
 39.6347 C 	 2117243095640630 ns 
 39.0596 C 	 2117243111457352 ns 
 38.9353 C 	 2117243127909325 ns 
 38.7799 C 	 2117243139972027 ns 
 38.1892 C 	 2117243151944009 ns 
 37.5830 C 	 2117243168033881 ns 
 38.5778 C 	 2117243179943253 ns 
 37.7385 C 	 2117243195902806 ns 
 39.0130 C 	 2117243207660768 ns 
 37.4898 C 	 2117243223783970 ns 
 39.3239 C 	 2117243236058322 ns 
 38.5467 C 	 2117243248056704 ns 
 38.1892 C 	 2117243263977197 ns 
 39.2151 C 	 2117243276163319 ns 
 39.7124 C 	 2117243292399261 ns 
 39.0596 C 	 2117243304248993 ns 
 38.2203 C 	 2117243316299935 ns 
 39.4482 C 	 2117243330450127 ns 
 38.7799 C 	 2117243346468090 ns 
 38.7332 C 	 2117243358333932 ns 
 39.8679 C 	 2117243370735274 ns 
 39.1373 C 	 2117243386889766 ns 
 39.2928 C 	 2117243398671488 ns 
 39.5104 C 	 2117243414463281 ns 
 38.4845 C 	 2117243426523553 ns 
 37.7851 C 	 2117243438366205 ns 
 38.8420 C 	 2117243454499217 ns 
 39.6658 C 	 2117243466640219 ns 
 38.5312 C 	 2117243483527912 ns 
 38.9664 C 	 2117243495567964 ns 
 38.6555 C 	 2117243511559676 ns 
 39.5104 C 	 2117243530042889 ns 
 38.0183 C 	 2117243546211662 ns 
 38.7332 C 	 2117243557984744 ns 
 38.6244 C 	 2117243573793096 ns 
 38.2825 C 	 2117243586226388 ns 
 38.8109 C 	 2117243602338371 ns 
 38.3136 C 	 2117243614323403 ns 
 39.7435 C 	 2117243631879496 ns 
 38.3136 C 	 2117243643779298 ns 
 39.7591 C 	 2117243659661240 ns 
 39.9456 C 	 2117243671874542 ns 
 39.3394 C 	 2117243687624635 ns 
 38.5467 C 	 2117243699628747 ns 
 39.5415 C 	 2117243715744539 ns 
 38.8576 C 	 2117243727785461 ns 
 37.6608 C 	 2117243744168614 ns 
 38.1426 C 	 2117243756362896 ns 
 39.0907 C 	 2117243768247728 ns 
 38.5467 C 	 2117243784179140 ns 
 38.3602 C 	 2117243796365232 ns 
 39.4171 C 	 2117243807967074 ns 
 38.0338 C 	 2117243823886787 ns 
 38.1581 C 	 2117243835810319 ns 
 37.8317 C 	 2117243851726851 ns 
 37.4432 C 	 2117243864120723 ns 
 37.8473 C 	 2117243876147785 ns 
 39.1995 C 	 2117243891962528 ns 
 38.5623 C 	 2117243904145620 ns 
 38.6555 C 	 2117243920067912 ns 
 39.0130 C 	 2117243931979384 ns 
 39.6969 C 	 2117243944051746 ns 
 39.0907 C 	 2117243959722879 ns 
 38.9508 C 	 2117243972005961 ns 
 38.3913 C 	 2117243987775043 ns 
 39.5570 C 	 2117244000124275 ns 
 38.9819 C 	 2117244012150137 ns 
 37.8628 C 	 2117244028216100 ns 
 40.1943 C 	 2117244040799692 ns 
 38.1115 C 	 2117244052649604 ns 
 39.3239 C 	 2117244068208056 ns 
 39.0596 C 	 2117244080578858 ns 
 38.7799 C 	 2117244096491971 ns 
 39.2772 C 	 2117244108346052 ns 
 38.3602 C 	 2117244120703594 ns 
 39.3550 C 	 2117244136414387 ns 
 39.3705 C 	 2117244148426689 ns 
 37.9405 C 	 2117244164495862 ns 
 39.2772 C 	 2117244176510173 ns 
 38.9664 C 	 2117244188323935 ns 
 38.7488 C 	 2117244204497208 ns 
 39.0752 C 	 2117244216635210 ns 
 38.8731 C 	 2117244232389502 ns 
 38.1737 C 	 2117244244135824 ns 
 39.6036 C 	 2117244260347467 ns 
 38.6089 C 	 2117244272672519 ns 
 37.7540 C 	 2117244284434111 ns 
 38.6866 C 	 2117244298005783 ns 
 38.5467 C 	 2117244314734986 ns 
 38.9197 C 	 2117244330559088 ns 
 39.1529 C 	 2117244342402490 ns 
 38.9664 C 	 2117244358700713 ns 
 39.6036 C 	 2117244374605035 ns 
 38.7021 C 	 2117244387662747 ns 
 39.3083 C 	 2117244399536599 ns 
 38.0649 C 	 2117244415408012 ns 
 39.2928 C 	 2117244427507434 ns 
 38.9353 C 	 2117244443248796 ns 
 38.9975 C 	 2117244455557018 ns 
 38.8576 C 	 2117244467256840 ns 
 38.5623 C 	 2117244483317823 ns 
 38.0493 C 	 2117244495354065 ns 
 37.8473 C 	 2117244511078597 ns 
 38.7332 C 	 2117244523298229 ns 
 38.7488 C 	 2117244539102952 ns 
 39.4327 C 	 2117244551218094 ns 
 39.2617 C 	 2117244563305606 ns 
 39.0441 C 	 2117244579570138 ns 
 37.9716 C 	 2117244591662990 ns 
 38.8731 C 	 2117244603427072 ns 
 38.0183 C 	 2117244619495015 ns 
 38.6244 C 	 2117244631899417 ns 
 37.9716 C 	 2117244647573999 ns 
 37.0235 C 	 2117244659612281 ns 
 38.0804 C 	 2117244671965713 ns 
 40.0233 C 	 2117244688161366 ns 
 39.6503 C 	 2117244700327268 ns 
 38.1426 C 	 2117244716988160 ns 
 39.8523 C 	 2117244728932962 ns 
 39.0907 C 	 2117244744898485 ns 
 38.3447 C 	 2117244761008548 ns 
 38.7332 C 	 2117244773217709 ns 
 40.3342 C 	 2117244789320542 ns 
 38.8265 C 	 2117244801150414 ns 
 39.6036 C 	 2117244816945747 ns 
 38.6089 C 	 2117244829165979 ns 
 39.4171 C 	 2117244845428681 ns 
 39.6814 C 	 2117244857361693 ns 
 39.6814 C 	 2117244869313875 ns 
 38.4224 C 	 2117244885485018 ns 
 38.4535 C 	 2117244897415539 ns 
 39.1840 C 	 2117244909618491 ns 
 38.9042 C 	 2117244929027535 ns 
 38.4845 C 	 2117244944938367 ns 
